    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.26s
     Running tests/e2e.rs (target/debug/deps/e2e-02710646dbc0f7d8)

running 6962 tests
test fixture_test_o0::cross_module_same_name_trait_wado ... ok
test fixture_test_o0::cross_module_same_name_variant_match_arms_wado ... ok
test fixture_test_o0::cross_module_same_name_variant_wado ... ok
test fixture_test_o0::cross_module_same_name_world_wado ... ok
test fixture_test_o0::cross_module_struct_tuple_field_wado ... ok
test fixture_test_o0::cross_module_struct_field_type_wado ... ok
test fixture_test_o0::cross_module_treemap_variant_wado ... ok
test fixture_test_o0::cross_module_undefined_struct_in_array_wado ... ok
test fixture_test_o0::cross_module_undefined_struct_wado ... ok
test fixture_test_o0::cross_module_type_identity_wado ... ok
test fixture_test_o0::cross_module_variant_iter_wado ... ok
test fixture_test_o0::dce_bytes_literals_wado ... ok
test fixture_test_o0::dce_closure_functor_cross_module_wado ... ok
test fixture_test_o0::dce_closure_functor_wado ... ok
test fixture_test_o0::default_arg_closure_rejected_error_wado ... ok
test fixture_test_o0::default_arg_basic_wado ... ok
test fixture_test_o0::default_arg_effectful_default_error_wado ... ok
test fixture_test_o0::default_arg_export_fn_rejected_error_wado ... ok
test fixture_test_o0::default_arg_enum_variant_wado ... ok
test fixture_test_o0::default_arg_fn_type_erases_wado ... ok
test fixture_test_o0::default_arg_non_trailing_error_wado ... ok
test fixture_test_o0::default_arg_generic_method_wado ... ok
test fixture_test_o0::default_arg_method_refers_earlier_param_wado ... ok
test fixture_test_o0::default_arg_method_wado ... ok
test fixture_test_o0::default_arg_private_item_wado ... ok
test fixture_test_o0::default_arg_pure_call_wado ... ok
test fixture_test_o0::default_arg_trait_impl_redeclare_error_wado ... ok
test fixture_test_o0::default_arg_refers_earlier_param_wado ... ok
test fixture_test_o0::default_arg_trait_method_wado ... ok
test fixture_test_o0::default_field_auto_derive_partial_error_wado ... ok
test fixture_test_o0::default_field_auto_derive_default_wado ... ok
test fixture_test_o0::default_field_auto_derive_user_impl_wins_wado ... ok
test fixture_test_o0::default_field_basic_wado ... ok
test fixture_test_o0::default_field_effectful_default_error_wado ... ok
test fixture_test_o0::default_field_omit_earlier_wado ... ok
test fixture_test_o0::default_field_private_omitted_ok_wado ... ok
test fixture_test_o0::default_field_private_set_error_wado ... ok
test fixture_test_o0::default_field_required_missing_error_wado ... ok
test fixture_test_o0::default_field_struct_in_struct_wado ... ok
test fixture_test_o0::default_field_variant_payload_ref_match_wado ... ok
test fixture_test_o0::default_field_serde_default_wado ... ok
test fixture_test_o0::default_trait_wado ... ok
test fixture_test_o0::default_type_params_wado ... ok
test fixture_test_o0::dict_mini_wado ... ok
test fixture_test_o0::display_unit_wado ... ok
test fixture_test_o0::divergent_body_skips_missing_return_wado ... ok
test fixture_test_o0::effect_1_wado ... ok
test fixture_test_o0::effect_2_wado ... ok
test fixture_test_o0::display_1_wado ... ok
test fixture_test_o0::display_2_wado ... ok
test fixture_test_o0::effect_benign_scoped_error_wado ... ok
test fixture_test_o0::effect_benign_multi_wado ... ok
test fixture_test_o0::effect_check_method_wado ... ok
test fixture_test_o0::effect_benign_suppresses_wado ... ok
test fixture_test_o0::effect_check_static_method_wado ... ok
test fixture_test_o0::effect_check_missing_wado ... ok
test fixture_test_o0::effect_generic_with_handler_error_wado ... ok
test fixture_test_o0::effect_handler_break_label_cross_wado ... ok
test fixture_test_o0::effect_handler_bundled_type_param_rejected_wado ... ok
test fixture_test_o0::effect_handler_bundled_no_effect_wado ... ok
test fixture_test_o0::effect_handler_bundled_mixed_wado ... ok
test fixture_test_o0::effect_handler_bundled_wado ... ok
test fixture_test_o0::effect_handler_bundled_value_wado ... ok
test fixture_test_o0::effect_handler_continue_cross_wado ... ok
test fixture_test_o0::effect_handler_cross_function_wado ... ok
test fixture_test_o0::effect_handler_inner_break_wado ... ok
test fixture_test_o0::effect_handler_early_return_wado ... ok
test fixture_test_o0::effect_handler_mut_self_alias_wado ... ok
test fixture_test_o0::effect_handler_nested_same_wado ... ok
test fixture_test_o0::effect_handler_resource_stream_wado ... ok
test fixture_test_o0::effect_handler_resource_stream_self_delegation_wado ... ok
test fixture_test_o0::effect_handler_resource_future_wado ... ok
test fixture_test_o0::effect_handler_resource_fields_wado ... ok
test fixture_test_o0::effect_handler_resume_wado ... ok
test fixture_test_o0::effect_handler_self_delegation_wado ... ok
test fixture_test_o0::effect_handler_value_form_wado ... ok
test fixture_test_o0::effect_handler_with_do_wado ... ok
test fixture_test_o0::effect_polymorphism_multi_param_error_wado ... ok
test fixture_test_o0::effect_indirect_call_error_wado ... ok
test fixture_test_o0::effect_polymorphism_error_wado ... ok
test fixture_test_o0::effect_propagation_effect_param_wado ... ok
test fixture_test_o0::effect_propagation_missing_wado ... ok
test fixture_test_o0::effect_propagation_generic_body_wado ... ok
test fixture_test_o0::effect_propagation_indirect_wado ... ok
test fixture_test_o0::effect_propagation_signature_async_return_wado ... ok
test fixture_test_o0::effect_propagation_signature_nested_wado ... ok
test fixture_test_o0::effect_propagation_signature_newtype_wado ... ok
test fixture_test_o0::effect_propagation_signature_param_wado ... ok
test fixture_test_o0::effect_propagation_signature_return_wado ... ok
test fixture_test_o0::effect_propagation_signature_transitive_wado ... ok
test fixture_test_o0::effect_propagation_stdout_stream_wado ... ok
test fixture_test_o0::effect_propagation_struct_field_wado ... ok
test fixture_test_o0::effect_propagation_transitive_wado ... ok
test fixture_test_o0::effect_propagation_variant_payload_wado ... ok
test fixture_test_o0::effect_resource_decl_accepted_wado ... ok
test fixture_test_o0::effect_resource_declared_wado ... ok
test fixture_test_o0::effect_resource_missing_wado ... ok
test fixture_test_o0::enum_construct_basic_wado ... ok
test fixture_test_o0::enum_display_template_wado ... ok
test fixture_test_o0::enum_display_basic_wado ... ok
test fixture_test_o0::enum_eq_ord_wado ... ok
test fixture_test_o0::enum_match_basic_wado ... ok
test fixture_test_o0::enum_impl_basic_wado ... ok
test fixture_test_o0::enum_match_if_let_wado ... ok
test fixture_test_o0::eprintln_then_trap_wado ... ok
test fixture_test_o0::error_extra_struct_field_wado ... ok
test fixture_test_o0::error_extra_arg_wado ... ok
test fixture_test_o0::error_for_of_no_into_iterator_wado ... ok
test fixture_test_o0::eq_null_inference_wado ... ok
test fixture_test_o0::error_for_of_no_iterator_wado ... ok
test fixture_test_o0::error_generic_static_method_as_instance_wado ... ok
test fixture_test_o0::error_missing_arg_wado ... ok
test fixture_test_o0::error_missing_struct_field_wado ... ok
test fixture_test_o0::error_refutable_let_bool_wado ... ok
test fixture_test_o0::error_refutable_let_literal_wado ... ok
test fixture_test_o0::error_refutable_let_variant_wado ... ok
test fixture_test_o0::error_static_method_as_instance_wado ... ok
test fixture_test_o0::error_task_return_non_async_wado ... ok
test fixture_test_o0::error_type_param_omission_two_t_method_mismatch_wado ... ok
test fixture_test_o0::error_type_param_omission_two_t_mismatch_wado ... ok
test fixture_test_o0::error_type_param_omission_two_t_static_mismatch_wado ... ok
test fixture_test_o0::error_type_param_omission_two_t_string_int_mismatch_wado ... ok
test fixture_test_o0::error_undefined_free_fn_wado ... ok
test fixture_test_o0::error_undefined_static_method_wado ... ok
test fixture_test_o0::error_undefined_method_wado ... ok
test fixture_test_o0::error_uninferable_fn_type_param_wado ... ok
test fixture_test_o0::export_param_count_mismatch_wado ... ok
test fixture_test_o0::export_required_for_run_wado ... ok
test fixture_test_o0::escape_brace_wado ... ok
test fixture_test_o0::export_return_type_mismatch_wado ... ok
test fixture_test_o0::field_forward_dedup_state_via_mut_ref_wado ... ok
test fixture_test_o0::field_forward_alias_group_invalidates_wado ... ok
test fixture_test_o0::field_forward_snapshot_after_mutation_wado ... ok
test fixture_test_o0::field_forward_struct_capture_invalidates_wado ... ok
test fixture_test_o0::flags_arith_div_wado ... ok
test fixture_test_o0::flags_arith_add_wado ... ok
test fixture_test_o0::flags_arith_mod_wado ... ok
test fixture_test_o0::flags_arith_mul_wado ... ok
test fixture_test_o0::flags_arith_sub_wado ... ok
test fixture_test_o0::flags_basic_wado ... ok
test fixture_test_o0::flags_generic_trait_dispatch_wado ... ok
test fixture_test_o0::float_mod_error_wado ... ok
test fixture_test_o0::flags_impl_wado ... ok
test fixture_test_o0::fn_ref_bare_to_ref_param_error_wado ... ok
test fixture_test_o0::float_to_string_wado ... ok
test fixture_test_o0::fn_ref_cross_module_alias_wado ... ok
test fixture_test_o0::fn_ref_cross_module_newtype_wado ... ok
test fixture_test_o0::fn_ref_generic_arity_mismatch_error_wado ... ok
test fixture_test_o0::fn_ref_generic_double_turbofish_error_wado ... ok
test fixture_test_o0::fn_ref_cross_module_wado ... ok
test fixture_test_o0::fn_ref_generic_alias_wado ... ok
test fixture_test_o0::fn_ref_generic_cross_module_wado ... ok
test fixture_test_o0::fn_ref_generic_error_wado ... ok
test fixture_test_o0::fn_ref_generic_inferred_wado ... ok
test fixture_test_o0::fn_ref_generic_outer_wado ... ok
test fixture_test_o0::fn_ref_generic_ref_wado ... ok
test fixture_test_o0::fn_ref_generic_self_recursive_wado ... ok
test fixture_test_o0::fn_ref_generic_turbofish_wado ... ok
test fixture_test_o0::fn_ref_mut_out_param_wado ... ok
test fixture_test_o0::fn_ref_type_mismatch_error_wado ... ok
test fixture_test_o0::fn_ref_parameter_wado ... ok
test fixture_test_o0::for_merged_wado ... ok
test fixture_test_o0::for_of_1_wado ... ok
test fixture_test_o0::for_of_2_wado ... ok
test fixture_test_o0::for_of_indexed_array_test_wado ... ok
test fixture_test_o0::for_of_iterator_enumerate_wado ... ok
test fixture_test_o0::for_of_ref_wado ... ok
test fixture_test_o0::forof_generic_array_wado ... ok
test fixture_test_o0::from_char_to_string_wado ... ok
test fixture_test_o0::from_literal_error_duplicate_field_wado ... ok
test fixture_test_o0::from_literal_custom_wado ... ok
test fixture_test_o0::from_literal_enum_concrete_wado ... ok
test fixture_test_o0::from_literal_cast_wado ... ok
test fixture_test_o0::from_literal_error_enum_mismatch_wado ... ok
test fixture_test_o0::from_literal_error_nested_generic_mismatch_wado ... ok
test fixture_test_o0::from_literal_error_flags_mismatch_wado ... ok
test fixture_test_o0::from_literal_error_newtype_mismatch_wado ... ok
test fixture_test_o0::from_literal_error_variant_mismatch_wado ... ok
test fixture_test_o0::from_literal_flags_concrete_wado ... ok
test fixture_test_o0::from_literal_fn_arg_wado ... ok
test fixture_test_o0::from_literal_nested_generic_wado ... ok
test fixture_test_o0::from_literal_newtype_concrete_wado ... ok
test fixture_test_o0::from_literal_variant_concrete_wado ... ok
test fixture_test_o0::from_literal_return_wado ... ok
test fixture_test_o0::from_numeric_widening_wado ... ok
test fixture_test_o0::generic_advanced_wado ... ok
test fixture_test_o0::generic_forward_variant_wado ... ok
test fixture_test_o0::generic_forward_wado ... ok
test fixture_test_o0::generic_function_merged_wado ... ok
test fixture_test_o0::generic_method_merged_wado ... ok
test fixture_test_o0::generic_struct_1_wado ... ok
test fixture_test_o0::geometry_wado ... ok
test fixture_test_o0::global_1_wado ... ok
test fixture_test_o0::global_2_wado ... ok
test fixture_test_o0::global_closure_field_wado ... ok
test fixture_test_o0::global_dce_cross_module_wado ... ok
test fixture_test_o0::global_immutable_assign_wado ... ok
test fixture_test_o0::global_dce_wado ... ok
